CMDLINE /usr/bin/python3.5 SingleTest.py 1 7
MEM 3.738281 1498748681.6616
MEM 18.554688 1498748681.7620
MEM 28.335938 1498748681.8623
MEM 30.667969 1498748681.9626
MEM 34.039062 1498748682.0629
MEM 36.488281 1498748682.1633
MEM 38.835938 1498748682.2636
MEM 45.058594 1498748682.3639
MEM 62.437500 1498748682.4642
MEM 65.574219 1498748682.5645
MEM 182.835938 1498748682.6649
MEM 278.667969 1498748682.7654
MEM 587.339844 1498748682.8658
MEM 836.656250 1498748682.9663
MEM 481.703125 1498748683.0668
MEM 679.019531 1498748683.1673
MEM 663.945312 1498748683.2678
MEM 863.167969 1498748683.3683
MEM 188.101562 1498748683.4687
