CMDLINE /usr/bin/python3.5 SingleTest.py 1 6
MEM 3.796875 1498278653.6912
MEM 19.343750 1498278653.7916
MEM 29.500000 1498278653.8919
MEM 30.800781 1498278653.9922
MEM 34.757812 1498278654.0926
MEM 36.910156 1498278654.1928
MEM 39.289062 1498278654.2931
MEM 45.730469 1498278654.3935
MEM 63.308594 1498278654.4937
MEM 89.519531 1498278654.5941
MEM 120.343750 1498278654.6945
MEM 120.843750 1498278654.7947
MEM 121.343750 1498278654.8950
MEM 121.593750 1498278654.9952
MEM 122.093750 1498278655.0955
MEM 122.593750 1498278655.1957
MEM 123.093750 1498278655.2960
MEM 123.343750 1498278655.3963
MEM 123.843750 1498278655.4966
MEM 124.343750 1498278655.5968
MEM 124.593750 1498278655.6970
MEM 125.093750 1498278655.7973
MEM 125.593750 1498278655.8976
MEM 125.843750 1498278655.9978
MEM 126.343750 1498278656.0981
MEM 126.843750 1498278656.1983
MEM 127.093750 1498278656.2986
MEM 127.593750 1498278656.3988
MEM 128.093750 1498278656.4992
MEM 128.343750 1498278656.5994
MEM 128.843750 1498278656.6997
MEM 129.343750 1498278656.7999
MEM 129.593750 1498278656.9002
MEM 130.093750 1498278657.0004
MEM 130.593750 1498278657.1007
MEM 130.843750 1498278657.2010
MEM 131.343750 1498278657.3012
MEM 131.843750 1498278657.4015
MEM 132.093750 1498278657.5018
MEM 132.593750 1498278657.6021
MEM 132.843750 1498278657.7024
MEM 133.343750 1498278657.8027
MEM 133.593750 1498278657.9031
MEM 134.093750 1498278658.0034
MEM 134.343750 1498278658.1038
MEM 134.843750 1498278658.2041
MEM 135.343750 1498278658.3044
MEM 135.593750 1498278658.4048
MEM 136.093750 1498278658.5051
MEM 136.343750 1498278658.6055
MEM 136.843750 1498278658.7058
MEM 137.343750 1498278658.8064
MEM 137.593750 1498278658.9068
MEM 138.093750 1498278659.0071
MEM 138.343750 1498278659.1074
MEM 138.843750 1498278659.2077
MEM 139.343750 1498278659.3080
MEM 139.593750 1498278659.4082
MEM 140.093750 1498278659.5086
MEM 140.343750 1498278659.6089
MEM 140.843750 1498278659.7091
MEM 141.093750 1498278659.8094
MEM 141.593750 1498278659.9097
MEM 142.093750 1498278660.0101
MEM 142.343750 1498278660.1106
MEM 150.562500 1498278660.2109
MEM 150.812500 1498278660.3112
MEM 151.062500 1498278660.4116
MEM 97.453125 1498278660.5120
