CMDLINE /usr/bin/python3.5 comparison.py
MEM 3.925781 1498164750.5142
MEM 20.378906 1498164750.6146
MEM 267.906250 1498164750.7151
MEM 783.906250 1498164750.8155
MEM 1337.789062 1498164750.9159
MEM 1550.671875 1498164751.0163
MEM 1550.671875 1498164751.1167
MEM 1550.671875 1498164751.2174
MEM 1550.671875 1498164751.3181
MEM 1550.671875 1498164751.4186
MEM 1550.671875 1498164751.5192
MEM 1550.671875 1498164751.6198
MEM 1550.671875 1498164751.7202
MEM 1550.671875 1498164751.8207
MEM 1550.671875 1498164751.9213
MEM 1550.671875 1498164752.0218
MEM 1550.671875 1498164752.1223
MEM 1550.671875 1498164752.2230
MEM 1550.671875 1498164752.3235
MEM 1550.671875 1498164752.4239
MEM 1550.671875 1498164752.5242
MEM 1550.671875 1498164752.6248
MEM 1550.671875 1498164752.7253
MEM 1550.671875 1498164752.8259
MEM 1550.671875 1498164752.9263
MEM 1707.671875 1498164753.0272
MEM 2075.671875 1498164753.1276
MEM 2342.046875 1498164753.2280
MEM 2398.046875 1498164753.3284
MEM 2500.730469 1498164753.4290
MEM 2735.417969 1498164753.5294
MEM 2983.417969 1498164753.6298
MEM 3268.277344 1498164753.7302
MEM 3727.300781 1498164753.8308
MEM 3368.359375 1498164753.9312
MEM 3844.359375 1498164754.0317
MEM 4319.183594 1498164754.1322
MEM 4763.183594 1498164754.2327
MEM 4481.300781 1498164754.3331
MEM 4051.566406 1498164754.4336
MEM 4121.566406 1498164754.5340
MEM 1550.972656 1498164754.6344
MEM 1550.972656 1498164754.7349
MEM 1550.972656 1498164754.8355
MEM 1550.972656 1498164754.9359
MEM 1550.972656 1498164755.0367
MEM 1550.972656 1498164755.1373
MEM 1550.972656 1498164755.2380
MEM 1550.972656 1498164755.3387
MEM 1550.972656 1498164755.4393
MEM 1550.972656 1498164755.5398
MEM 1550.972656 1498164755.6408
MEM 1550.972656 1498164755.7415
MEM 1550.972656 1498164755.8421
MEM 1550.972656 1498164755.9427
MEM 1550.972656 1498164756.0431
MEM 1550.972656 1498164756.1437
MEM 1550.972656 1498164756.2443
MEM 1550.972656 1498164756.3448
MEM 1550.972656 1498164756.4452
MEM 1550.972656 1498164756.5458
MEM 1741.859375 1498164756.6464
MEM 2019.859375 1498164756.7469
MEM 2305.859375 1498164756.8473
MEM 2754.734375 1498164756.9478
MEM 2335.230469 1498164757.0484
MEM 1551.031250 1498164757.1488
MEM 1551.031250 1498164757.2494
MEM 1551.031250 1498164757.3500
MEM 1551.031250 1498164757.4505
MEM 1551.031250 1498164757.5510
MEM 1551.031250 1498164757.6515
MEM 1551.031250 1498164757.7520
MEM 1551.031250 1498164757.8525
MEM 1551.031250 1498164757.9530
MEM 1551.031250 1498164758.0535
MEM 1551.031250 1498164758.1540
MEM 1551.031250 1498164758.2546
MEM 1551.031250 1498164758.3553
MEM 1551.031250 1498164758.4560
MEM 1551.031250 1498164758.5566
MEM 1551.031250 1498164758.6571
MEM 1551.031250 1498164758.7578
MEM 1551.031250 1498164758.8584
MEM 1551.031250 1498164758.9589
MEM 1551.031250 1498164759.0595
MEM 1551.031250 1498164759.1601
MEM 1551.031250 1498164759.2606
MEM 1551.031250 1498164759.3612
MEM 1551.031250 1498164759.4619
MEM 1551.031250 1498164759.5627
MEM 1551.031250 1498164759.6633
MEM 1551.031250 1498164759.7640
MEM 1551.031250 1498164759.8647
MEM 1551.031250 1498164759.9653
MEM 1551.031250 1498164760.0659
MEM 25.148438 1498164760.1665
