CMDLINE /usr/bin/python3.5 SingleTest.py 1 7
MEM 3.824219 1498448804.6503
MEM 17.910156 1498448804.7507
MEM 27.324219 1498448804.8510
MEM 30.828125 1498448804.9514
MEM 31.781250 1498448805.0518
MEM 36.187500 1498448805.1521
MEM 38.433594 1498448805.2525
MEM 40.019531 1498448805.3529
MEM 51.582031 1498448805.4532
MEM 63.398438 1498448805.5536
MEM 90.875000 1498448805.6540
MEM 185.367188 1498448805.7544
MEM 275.359375 1498448805.8548
MEM 575.878906 1498448805.9553
MEM 777.191406 1498448806.0563
MEM 553.863281 1498448806.1568
MEM 819.832031 1498448806.2573
MEM 1039.132812 1498448806.3578
MEM 66.683594 1498448806.4582
