CMDLINE /usr/bin/python3.5 SingleTest.py 1 7
MEM 3.789062 1498262453.3812
MEM 21.273438 1498262453.4816
MEM 30.273438 1498262453.5820
MEM 31.316406 1498262453.6823
MEM 35.019531 1498262453.7827
MEM 37.210938 1498262453.8831
MEM 39.585938 1498262453.9835
MEM 45.640625 1498262454.0838
MEM 63.894531 1498262454.1842
MEM 67.125000 1498262454.2845
MEM 284.765625 1498262454.3851
MEM 348.550781 1498262454.4856
MEM 375.593750 1498262454.5863
MEM 375.593750 1498262454.6870
MEM 325.250000 1498262454.7874
MEM 375.218750 1498262454.8881
MEM 375.343750 1498262454.9888
MEM 314.562500 1498262455.0893
MEM 375.343750 1498262455.1900
MEM 366.300781 1498262455.2904
MEM 375.343750 1498262455.3911
MEM 375.593750 1498262455.4919
MEM 318.125000 1498262455.5924
MEM 375.281250 1498262455.6931
MEM 375.281250 1498262455.7938
MEM 316.562500 1498262455.8942
MEM 375.218750 1498262455.9950
MEM 364.300781 1498262456.0954
MEM 301.300781 1498262456.1959
MEM 375.281250 1498262456.2965
MEM 354.640625 1498262456.3970
MEM 375.218750 1498262456.4976
MEM 375.343750 1498262456.5983
MEM 338.187500 1498262456.6987
MEM 375.343750 1498262456.7994
MEM 375.343750 1498262456.9002
MEM 336.187500 1498262457.0006
MEM 375.343750 1498262457.1014
MEM 375.718750 1498262457.2021
MEM 330.238281 1498262457.3025
MEM 375.718750 1498262457.4032
MEM 378.773438 1498262457.5036
MEM 304.640625 1498262457.6041
MEM 375.218750 1498262457.7048
MEM 368.300781 1498262457.8052
MEM 301.046875 1498262457.9057
MEM 374.406250 1498262458.0063
MEM 358.238281 1498262458.1068
MEM 298.363281 1498262458.2072
MEM 375.343750 1498262458.3080
MEM 354.300781 1498262458.4085
MEM 375.343750 1498262458.5096
MEM 375.718750 1498262458.6102
MEM 324.183594 1498262458.7106
MEM 375.343750 1498262458.8113
MEM 375.718750 1498262458.9119
MEM 320.433594 1498262459.0124
MEM 375.281250 1498262459.1131
MEM 376.238281 1498262459.2136
MEM 310.121094 1498262459.3141
MEM 375.718750 1498262459.4148
MEM 364.175781 1498262459.5152
MEM 299.046875 1498262459.6157
MEM 375.718750 1498262459.7164
MEM 350.238281 1498262459.8170
MEM 375.718750 1498262459.9176
MEM 375.218750 1498262460.0184
MEM 334.707031 1498262460.1188
MEM 375.343750 1498262460.2195
MEM 594.503906 1498262460.3200
MEM 763.449219 1498262460.4206
MEM 928.902344 1498262460.5210
MEM 0.000000 1498262460.6214
