CMDLINE /usr/bin/python3.5 SingleTest.py 1 8
MEM 8.949219 1497826345.5843
MEM 22.539062 1497826345.6848
MEM 29.679688 1497826345.7852
MEM 30.867188 1497826345.8856
MEM 33.835938 1497826345.9859
MEM 36.500000 1497826346.0863
MEM 38.906250 1497826346.1866
MEM 41.347656 1497826346.2869
MEM 57.031250 1497826346.3872
MEM 64.375000 1497826346.4876
MEM 171.460938 1497826346.5879
MEM 343.460938 1497826346.6884
MEM 513.460938 1497826346.7888
MEM 679.460938 1497826346.8892
MEM 835.304688 1497826346.9896
MEM 901.460938 1497826347.0900
MEM 967.460938 1497826347.1903
MEM 1033.460938 1497826347.2907
MEM 1099.460938 1497826347.3911
MEM 1165.460938 1497826347.4914
MEM 1231.460938 1497826347.5918
MEM 1295.460938 1497826347.6922
MEM 1363.460938 1497826347.7925
MEM 1429.460938 1497826347.8929
MEM 1497.460938 1497826347.9932
MEM 1567.460938 1497826348.0936
MEM 1893.343750 1497826348.1941
MEM 1596.675781 1497826348.2945
MEM 1614.675781 1497826348.3949
MEM 1722.402344 1497826348.4954
MEM 2154.402344 1497826348.5959
MEM 2619.226562 1497826348.6963
MEM 3103.226562 1497826348.7968
MEM 3475.109375 1497826348.8972
MEM 3839.109375 1497826348.9977
MEM 3881.300781 1497826349.0982
MEM 4128.992188 1497826349.1987
MEM 4572.992188 1497826349.2992
MEM 4782.875000 1497826349.3996
MEM 4944.875000 1497826349.5000
MEM 5106.875000 1497826349.6004
MEM 5268.875000 1497826349.7008
MEM 5421.093750 1497826349.8013
MEM 5531.750000 1497826349.9017
MEM 5674.242188 1497826350.0022
MEM 5994.242188 1497826350.1026
MEM 6336.242188 1497826350.2031
MEM 6826.125000 1497826350.3036
MEM 6543.183594 1497826350.4042
MEM 7021.183594 1497826350.5046
MEM 7464.007812 1497826350.6052
MEM 7610.125000 1497826350.8212
MEM 7150.261719 1497826350.9217
MEM 7212.437500 1497826351.0223
MEM 66.582031 1497826351.1226
